part_id	section_id	paragraph_id	sentence_id	content
1	1	1	1	私はその人を常に先生と呼んでいた。
1	1	1	2	だからここでもただ先生と書くだけで本名は打ち明けない。
1	1	1	3	これは世間を憚かる遠慮というよりも、その方が私にとって自然だからである。
1	1	1	4	私はその人の記憶を呼び起すごとに、すぐ「先生」といいたくなる。
1	1	1	5	筆を執っても心持は同じ事である。
1	1	1	6	よそよそしい頭文字などはとても使う気にならない。
1	1	2	1	私が先生と知り合いになったのは鎌倉である。
1	1	2	2	その時私はまだ若々しい書生であった。
1	1	2	3	暑中休暇を利用して海水浴に行った友達からぜひ来いという端書を受け取ったので、私は多少の金を工面して、出掛ける事にした。
1	1	2	4	私は金の工面に二、三日を費やした。
1	1	2	5	ところが私が鎌倉に着いて三日と経たないうちに、私を呼び寄せた友達は、急に国元から帰れという電報を受け取った。
1	1	2	6	電報には母が病気だからと断ってあったけれども友達はそれを信じなかった。
1	1	2	7	友達はかねてから国元にいる親たちに勧まない結婚を強いられていた。
1	1	2	8	彼は現代の習慣からいうと結婚するにはあまり年が若過ぎた。
1	1	2	9	それに肝心の当人が気に入らなかった。
1	1	2	10	それで夏休みに当然帰るべきところを、わざと避けて東京の近くで遊んでいたのである。
1	1	2	11	彼は電報を私に見せてどうしようと相談をした。
1	1	2	12	私にはどうしていいか分らなかった。
1	1	2	13	けれども実際彼の母が病気であるとすれば彼は固より帰るべきはずであった。
1	1	2	14	それで彼はとうとう帰る事になった。
1	1	2	15	せっかく来た私は一人取り残された。
1	1	3	1	学校の授業が始まるにはまだ大分日数があるので鎌倉におってもよし、帰ってもよいという境遇にいた私は、当分元の宿に留まる覚悟をした。
1	1	3	2	友達は中国のある資産家の息子で金に不自由のない男であったけれども、学校が学校なのと年が年なので、生活の程度は私とそう変りもしなかった。
1	1	3	3	したがって一人ぼっちになった私は別に恰好な宿を探す面倒ももたなかったのである。
1	1	4	1	宿は鎌倉でも辺鄙な方角にあった。
1	1	4	2	玉突きだのアイスクリームだのというハイカラなものには長い畷を一つ越さなければ手が届かなかった。
1	1	4	3	車で行っても二十銭は取られた。
1	1	4	4	けれども個人の別荘はそこここにいくつでも建てられていた。
1	1	4	5	それに海へはごく近いので海水浴をやるには至極便利な地位を占めていた。
1	1	5	1	私は毎日海へはいりに出掛けた。
